StmtText,StmtId,NodeId,Parent,PhysicalOp,LogicalOp,Argument,DefinedValues,EstimateRows,EstimateIO,EstimateCPU,AvgRowSize,TotalSubtreeCost,OutputList,Warnings,Type,Parallel,EstimateExecutions
                      |         |--Clustered Index Scan(OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t])),1,11,10,Clustered Index Scan,Clustered Index Scan,OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t]),"[t].[productid], [t].[unitprice]",2310000,18.71646,0.63528925,20,19.351748,"[t].[productid], [t].[unitprice]",,PLAN_ROW,true,1
"                      |--Hash Match(Right Outer Join, HASH:([t].[categoryid])=([northwind].[dbo].[producthistory].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]=[northwind].[dbo].[producthistory].[categoryid]))",1,12,8,Hash Match,Right Outer Join,"HASH:([t].[categoryid])=([northwind].[dbo].[producthistory].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]=[northwind].[dbo].[producthistory].[categoryid])",,2310000,0,0.4429307,86,59.765545,"[northwind].[dbo].[producthistory].[id], [northwind].[dbo].[producthistory].[productid], [northwind].[dbo].[producthistory].[productname], [northwind].[dbo].[producthistory].[categoryid], [northwind].[dbo].[producthistory].[unitprice], [Expr1003], [Expr1007]",,PLAN_ROW,true,1
                           |--Compute Scalar(DEFINE:([Expr1007]=CASE WHEN [Expr1038]=(0) THEN NULL ELSE [Expr1039] END)),1,13,12,Compute Scalar,Compute Scalar,DEFINE:([Expr1007]=CASE WHEN [Expr1038]=(0) THEN NULL ELSE [Expr1039] END),[Expr1007]=CASE WHEN [Expr1038]=(0) THEN NULL ELSE [Expr1039] END,8,0,0,28,19.763966,"[t].[categoryid], [Expr1007]",,PLAN_ROW,true,1
"                           |    |--Hash Match(Aggregate, HASH:([t].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid] = [northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]) DEFINE:([Expr1038]=COUNT_BIG([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice]), [Expr1039]=SUM([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice])))",1,14,13,Hash Match,Aggregate,"HASH:([t].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid] = [northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid])","[Expr1038]=COUNT_BIG([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice]), [Expr1039]=SUM([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice])",8,0,0.41221723,28,19.763966,"[t].[categoryid], [Expr1038], [Expr1039]",,PLAN_ROW,true,1
                           |         |--Clustered Index Scan(OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t])),1,15,14,Clustered Index Scan,Clustered Index Scan,OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t]),"[t].[categoryid], [t].[unitprice]",2310000,18.71646,0.63528925,20,19.351748,"[t].[categoryid], [t].[unitprice]",,PLAN_ROW,true,1
"                           |--Hash Match(Right Outer Join, HASH:([t].[categoryid])=([northwind].[dbo].[producthistory].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]=[northwind].[dbo].[producthistory].[categoryid]))",1,16,12,Hash Match,Right Outer Join,"HASH:([t].[categoryid])=([northwind].[dbo].[producthistory].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]=[northwind].[dbo].[producthistory].[categoryid])",,2310000,0,0.4429307,69,39.558647,"[northwind].[dbo].[producthistory].[id], [northwind].[dbo].[producthistory].[productid], [northwind].[dbo].[producthistory].[productname], [northwind].[dbo].[producthistory].[categoryid], [northwind].[dbo].[producthistory].[unitprice], [Expr1003]",,PLAN_ROW,true,1
"                                |--Compute Scalar(DEFINE:([Expr1003]=CASE WHEN [Expr1040]=(0) THEN NULL ELSE [Expr1041]/CONVERT_IMPLICIT(decimal(19,0),[Expr1040],0) END))",1,17,16,Compute Scalar,Compute Scalar,"DEFINE:([Expr1003]=CASE WHEN [Expr1040]=(0) THEN NULL ELSE [Expr1041]/CONVERT_IMPLICIT(decimal(19,0),[Expr1040],0) END)","[Expr1003]=CASE WHEN [Expr1040]=(0) THEN NULL ELSE [Expr1041]/CONVERT_IMPLICIT(decimal(19,0),[Expr1040],0) END",8,0,0,28,19.763966,"[t].[categoryid], [Expr1003]",,PLAN_ROW,true,1
"                                |    |--Hash Match(Aggregate, HASH:([t].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid] = [northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid]) DEFINE:([Expr1040]=COUNT_BIG([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice]), [Expr1041]=SUM([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice])))",1,18,17,Hash Match,Aggregate,"HASH:([t].[categoryid]), RESIDUAL:([northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid] = [northwind].[dbo].[producthistory].[categoryid] as [t].[categoryid])","[Expr1040]=COUNT_BIG([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice]), [Expr1041]=SUM([northwind].[dbo].[producthistory].[unitprice] as [t].[unitprice])",8,0,0.41221723,28,19.763966,"[t].[categoryid], [Expr1040], [Expr1041]",,PLAN_ROW,true,1
                                |         |--Clustered Index Scan(OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t])),1,19,18,Clustered Index Scan,Clustered Index Scan,OBJECT:([northwind].[dbo].[producthistory].[pk_product_history] AS [t]),"[t].[categoryid], [t].[unitprice]",2310000,18.71646,0.63528925,20,19.351748,"[t].[categoryid], [t].[unitprice]",,PLAN_ROW,true,1
                                |--Clustered Index Scan(OBJECT:([northwind].[dbo].[producthistory].[pk_product_history])),1,20,16,Clustered Index Scan,Clustered Index Scan,OBJECT:([northwind].[dbo].[producthistory].[pk_product_history]),"[northwind].[dbo].[producthistory].[id], [northwind].[dbo].[producthistory].[productid], [northwind].[dbo].[producthistory].[productname], [northwind].[dbo].[producthistory].[categoryid], [northwind].[dbo].[producthistory].[unitprice]",2310000,18.71646,0.63528925,52,19.351748,"[northwind].[dbo].[producthistory].[id], [northwind].[dbo].[producthistory].[productid], [northwind].[dbo].[producthistory].[productname], [northwind].[dbo].[producthistory].[categoryid], [northwind].[dbo].[producthistory].[unitprice]",,PLAN_ROW,true,1
